"proj_title","proj_lead","proj_inst","proj_detail"
"COVID-19 in individuals with Down's Syndrome","Lead Investigator: Tell Bennett","Accessing Institution: University of Colorado Anschutz Medical Campus","This project will investigate the clinical characteristics of COVID-19 in individuals with Down syndrome, who are at high risk of developing severe complications from SARS-CoV-2 infection because of interferon dysregulation. The research activities in this proposal could enable tailored strategies for better prevention, diagnosis, and treatment of COVID-19 in this vulnerable population."
"COVID-19 infection and mortality among individuals with disabilities","Lead Investigator: Jamie Doyle","Accessing Institution: National Center for Advancing Translational Sciences","Individuals with disabilities may not be able to practice social distancing and other COVID-19 preventive measures due to their impairment, potential reliance on caregivers for activities of daily living, and the necessity to continue essential therapies. The purpose of this study is to examine geographic variation and correlates of COVID-19 infection and mortality rates of individuals with developmental, intellectual, and physical impairments as compared to those without. Rates will be weighted based on population size of the zip code and stratified by disability. A survival analysis will be performed with mortality as the outcome. Results from this study will help inform public health interventions targeting this vulnerable population."
"COVID-19 medications prescribing habits throughout the pandemic","Lead Investigator: Scott Helgeson","Accessing Institution: Mayo Clinic","COVID-19 has infected nearly 11 million people in the US and there is limited effective treatments for the disease. There has been many potential treatments that have come and gone and have not proven to be effective. This study is aimed towards determining the use of specific medications and how frequently they were used throughout the pandemic and how prescribing habits were effected by publications in the medical literature. We will also be looking at how social media impacted these prescribing habits."
"COVID-19 Outcomes in Patients with Cirrhosis","Lead Investigator: Jin Ge","Accessing Institution: University of California, San Francisco","Liver involvement is common during COVID-19 and is associated with asymptomatic liver function test elevations to acute hepatic decompensation.  Existing studies of the outcomes of SARS-CoV-2 infection in patients with cirrhosis have been limited by small sample sizes and selection bias - for example, a recent study of the national VA database consisted of a population enriched with patients with chronic hepatitis C and male veterans.  There is a need, therefore, for better definition of the outcomes of SARS-CoV-2 infection in patients with cirrhosis in a more representative population.   In this study, we aim to leverage the N3C Database to determine the outcomes of SARS-CoV-2 infection in patients with cirrhosis and patients with chronic liver diseases."
"COVID-19 pandemic associated adverse drug event disproportionality differences","Lead Investigator: Richard Boyce","Accessing Institution: University of Pittsburgh","The purpose of this PV analysis is to compare the ten most frequently reported ADEs for each of the twenty most commonly used medications in COVID-19 patients during pre-pandemic, post-pandemic, and post-pandemic when confirmed to be used for direct treatment of COVID-19. The secondary aim of this study is to investigate if there is a significant difference in the top ten reported ADEs and frequency of ADEs between genders and between age groups (18-64 and >65) during post-pandemic for each drug with confirmed use for direct COVID-19 treatment. A robust list of medications used in COVID-19 patients that are currently being studied was compiled through use of NCBI-PubMed Central, Clinicaltrials.gov., and the FDA Adverse Event Reporting System (FAERS) database. Concept sets were created on ATLAS for each medication. Using these concept sets, the twenty most commonly used medications will be identified through the National COVID Cohort Collaboration (N3C). Once the top twenty medications are identified, comparison data of reported ADEs pre-pandemic, post-pandemic, and post-pandemic for direct COVID-19 treatment will be collected through a query of the FAERS database from September 11th, 2019 - March 1st, 2021. ADEs for comparison will also be obtained from Micromedex. Disproportionality analysis using reporting odds ratios will be used to compare frequencies of ADEs between time periods, genders, and age groups. Overall, our findings may aid as a future reference for selecting clinically safe medications for use in COVID-19 patients by revealing patterns of ADEs between different groups, as well as providing updated data on common ADEs seen in medications used for COVID-19 treatment or symptom alleviation."
"COVID-19 role immunosuppresion and arrhythmias in solid-organ transplant recipient.","Lead Investigator: Saidulu Mattapally","Accessing Institution: Mattapally Technologies","The clinical highlights and results of COVID-19 among immunosuppressed patients, who are at assumed risk of more serious infection.  however, who may likewise have diminished inflammatory reactions are not well studied. Few transplantation studies reported that increased proinflammatory markers were associated with pathologic arrhythmias. However, the relationship between pathologic arrhythmias and COVID-19  patients among immunocompromised populations ranging from patients with solid-organ transplant recipients to patients with HIV and those receiving immunomodulatory therapy for autoimmune disease and other population, coherent will help to understand the increased risk of severe COVID-19 disease and death. In this present study, we will be performed data analysis of prospective study populations and find its outcomes susceptibility to COVID-19 infection."
"COVID-19 Synthetic Data Validation","Lead Investigator: Justin Starren","Accessing Institution: Northwestern University","There is uncertainty about which kinds of analyses can be supported by the synthetic derivative and which will require the LDS.  The purpose of this research will be to conduct a number of analyses on both the Synthetic Derivative (SD) and the Limited Data Set (LDS) and compare the results.  In particular, we will focus on applying a variety of deep-learning methods."
"COVID-19 testing frequency","Lead Investigator: Sumi Singh","Accessing Institution: Citizen Scientist","This is an exploratory project to identify markers in Synthetic Data that can be used for predicting COVID-19 testing frequency."
"COVID-19 Treatments Associated with Lower Mortality ","Lead Investigator: Sally Hodder","Accessing Institution: West Virginia University","There are no clear data on the best treatments for COVID-19 to minimize mortality in various populations.  As an example, an NIH randomized clinical trial concluded that remdesivir was superior to placebo among hospitalized patients, significantly shortening time to recovery (10 vs. 15 days).1 Though mortality was significantly lower in the remdesivir group at day 15 (6.7% vs. 11.9%), mortality at day 29 trended lower (11.4% vs. 15.2%) but did not reach statistical significance. In contrast, a recent World Health Organization guidelines panel recommended against remdesivir use citing that there is currently no evidence that it improves survival.  The WHO guideline was based on analysis of four clinical trials conducted among 7000 patients.2  This project utilizing the N3C database seeks to evaluate what therapies are associated with the lowest mortality among various populations."
"COVID-19, Social Determinants of Health, and Orthopaedic Surgery","Lead Investigator: Eli Levitt","Accessing Institution: University of Alabama at Birmingham","The purpose of this study is to analyze the demographic, clinical characteristics, social factors, treatments and outcomes of interest among individuals in the National COVID Cohort Collaborative.Other objectives include developing concept sets, protocol prototypes, code and documentation to use best practices developed in cross-cutting domain teams (ML, ADM&S) to investigate the described research questions."
"COVID-19- Clinical Differences between Symptomatic Patients & Asymptomatic Carriers","Lead Investigator: Moriya Cohen","Accessing Institution: Bar-IIan University","The purpose of this research is to suggest a new method for explainable AI that will allow from one hand to predict if a person will be asymptomatic and from the other hand to explain the reason for that prediction. This will allow the physician and the decision makers to trust the machine learning models. Our new method will combine prediction algorithms and cluster analysis algorithms.Decision makers need to rely on data when creating an action plan. But a ?black box? algorithm cannot provide the relevant information. Decisions need to be based on analysis process based. Our goal is to combine patient?s predictive algorithms with clustering algorithms in order to trace sub groups among asymptomatic and symptomatic patients.If we want to control the pandemic, we need to understand the way it is spreading. The key to that understanding rely on our ability to identify COVID-19 carries, assuming we can?t test everyone at all times."
"Data-driven Investigation of Health Disparities in COVID-19 Outcomes: A Focus on Behavioral Health","Lead Investigator: Hollis Karoly","Accessing Institution: Colorado State University","Our overall project aim is to explore identity and behavioral health predictors of COVID severity and disease course, including the impact of mental and physical health comorbidities on COVID outcomes. We will use machine learning approaches on this large dataset to improve our understanding of health disparities based on race, gender and ethnicity in a range of COVID-related and behavioral health outcomes. We will also incorporate specimen data?particularly specimens related to immune-function (e.g., blood cytokines and other immune markers). This project has translational significance because it will include biological, psychological, and social factors that affect COVID severity and disease course.  We request access to level 2 individual-level data (HIPAA safe harbor data). Our research questions require individual rather than aggregate data. More specifically, using machine learning and multilevel analyses we will be able to model nuances in the individual-level data that would not be possible with synthetic data. Analyses of these data will provide critical insights to push the field forward that would not be possible with synthetic data."
"Deep Learning based models to predict COVID-19 patients outcomes","Lead Investigator: Laila Gindy Bekhet","Accessing Institution: The University of Texas Health Science Center at Houston","There is an increased need for tools to help identify patients at high risk of clinical deterioration in an early phase. With the extensive use of electronic records and the availability of historical patient information, predictive models that can help identify patients at risk based on their history at an early stage can be a valuable adjunct to clinician judgment. Deep learning based models can help better predict patients' health outcomes using patients' clinical history information. We plan to train models that can predict different health outcomes on admission including mortality risk, intubation, and prolonged length of stay"
"Deep learning of longitudinal chest X-ray and clinical variables to predict needs for invasive mechanical ventilation and mortality in COVID-19 patients","Lead Investigator: Tim Duong","Accessing Institution: Albert Einstein College of Medicine","In principle, CXR could also be used to monitor disease progression and treatment response, optimize mechanical ventilator settings, determine when to safely extubate, and predict clinical outcomes in COVID-19 patients. However, CXR is not currently being used in this capacity and thus the potential of CXR in COVID-19 is not yet be fully realized. This is in part because the temporal progression of COVID-19 lung infection on CXR is incompletely understood. CXR has become more relevant because a disproportionally large percentage of COVID-19 patients require invasive mechanical ventilation (IMV) for a longer duration than patients with other similar lung infections. Improved understanding of the temporal progression of COVID-19 lung infection on CXR could be leveraged to address resource allocation in the event of a shortage of mechanical ventilators.We have recently developed machine learning algorithms that take CXR and non-imaging clinical data at multiple time points (1, 1-3 and 1-5 days on IMV) to predict duration of IMV (i.e., how much time the patient needs to be on IMV) and in-hospital mortality. Deep-learning predictions using longitudinal data outperformed those using single time-point data. The best prediction performance was obtained using both CXR and non-imaging clinical data (such as demographic, comorbidity, serial vital signs and serial laboratory tests) over five consecutive days, yielding an accuracy of 85?0.04% for predicting mortality, and 2.56?0.24 days for predicting the duration on IMV. The main goal of this N3C proposal is to determine whether these findings are generalizable to the N3C cohort."
"Developing an application to predict the severity of COVID-19 infections of individual patients by applying artificial intelligence methodologies","Lead Investigator: Kathryn Monopoli","Accessing Institution: University of Massachusetts Medical School","COVID19 is perplexing in how it impacts different individuals with drastic differences in severity. Understanding the how different individuals vary in susceptibility is essential to treating individuals efficiently and to identifying those at greater risk to minimize the impacts of the disease. We will develop an application applying artificial intelligence to predict the severity of COVID-19 symptoms a patient will experience based on the patient's presenting condition. Our study will utilize lab values from urine and blood tests from both patients who tested positive for COVID-19 and those who did not along with information about symptom severity for COVID-19 positive patients. Lab values will be used for analysis as these are standardized, rapid, low-cost diagnostic tests that provide great insight into a patient?s current health state and have been proven valuable in predicting outcomes in a broad range of diseases. This application could be applied to recommend treatment course for a patient to enable healthcare providers to make decisions quickly and allocate limited resources efficiently. This study will elucidate the complexities of COVID19 symptom presentation and, further, will aid in identifying individuals likely to be asymptomatic carriers."
"Developing and validating AI-COVID, a machine learning model predicting COVID-19 using only routine blood tests","Lead Investigator: Peter Toshev","Accessing Institution: Biocogniv","Biocogniv Inc. has developed a machine learning model, AI-COVID, to rule out COVID-19 using only routine blood tests among adults presenting to emergency departments. We request the N3C Level 2 (de-identified) data to validate model performance metrics?including AUROC, sensitivity, specificity and negative predictive value analysis?on routine laboratory tests ordered from emergency departments (ED) visits. We also aim to explore model performance on laboratory tests ordered from non-ED patient encounters. The primary objective of this effort is to further demonstrate model robustness across clinical centers, patient pools, geography and demography, laboratory testing equipment and other idiosyncrasies of patient data collection. Our secondary objective is to explore the model performance  on inpatient encounters and ED encounters involving asymptomatic patients.  . Use of the AI-COVID model may help clinicians cohort potentially infectious patients, inform selective use of PCR-based testing for the diagnosis of COVID-19 infections, and improve quality of care for clinical institutions suffering limited resources."
"Developing data intensive policies for disparity in health outcome for COVID-19 patients","Lead Investigator: Mohammad Adibuzzaman","Accessing Institution: Purdue University","As COVID-19 indiscriminately ravages communities around the country, equitable and fair treatment of patients within healthcare settings have become a focal issue. An ethical response to the pandemic would ensure fairness in healthcare facilities, especially in terms of allocating resources or prioritizing treatment. Since past research on non-pandemic health issues consistently documented discriminations, often inadvertently, against patients from ethnic minority backgrounds or vulnerable populations, the issue of health disparity has been a great concern in research and clinical communities as well as for policy makers."
"Developing Dynamic Graphs for Prediction and Classification of COVID-19 Patient Trajectories","Lead Investigator: James Howard","Accessing Institution: Johns Hopkins University","We intend to use graphical models to summarize COVID-19 patient data, provide projections based on that data, and to enable classification and prediction of COVID-19 patient outcomes. Our project will use PyTorch Geometric and dynamic graphical models to construct a set of classifiers for COVID-19 disease trajectories.  Successful development and deployment of this technology would enable better treatment and risk evaluation for COVID-19 patients."
"Development of a COVID-19 clinical staging model and evaluation of risk factors for COVID-19 acquisition and disease progression using computer modeling","Lead Investigator: Yufu Zhang","Accessing Institution: University of Illinois at Chicago","We have developed multiple models and analyses of our patients with COVID-19 at UI Health to help determine who is more likely to pass away, require elevated levels of care or get intubated. We have also compared the effectiveness of multiple published computer models on our data set.  Many of these external models have performed poorly on our data set.  We would like to see how our internally developed models and these external models perform on a larger data set as found in the N3C Data Enclave."
"Differential Clinical Outcomes for Drug Repurposing Candidates Discovered in BSL3 SARS-CoV-2 Infection Model","Lead Investigator: Jonathan Sexton","Accessing Institution: University of Michigan?Ann Arbor","The global spread of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), and the associated disease COVID-19, requires therapeutic interventions that can be rapidly translated to clinical care. Unfortunately, traditional drug discovery methods have a >90% failure rate and can take 10-15 years from target identification to clinical use. In contrast, drug repurposing can significantly accelerate translation. We developed a quantitative high-throughput screen to identify efficacious single agents and combination therapies against SARS-CoV-2. From a library of 1,441 FDA-approved compounds and clinical candidates, we identified 20 dose-responsive compounds with antiviral effects.  This research seeks to determine if the FDA-approved drugs exhibiting direct antiviral efficacy against SARS-CoV-2 in vitro have any clinical benefit."
"Disparities in COVID-19","Lead Investigator: Tamas Gal","Accessing Institution: Virginia Commonwealth University","Race and ethnicity based disparities in COVID-19 testing, treatment and  mortality are documented based on institutional datasets. This project aims to look at disparities at a larger scale in COVID-19. We are requesting Level 2 de-identified data to explore if there are significant disparities in COVID-19 testing, treatment and mortality."
"Drug Repurposing for Improving COVID-19 Outcomes","Lead Investigator: Ivana Maric","Accessing Institution: Stanford University","Currently, no therapeutics or pharmacological treatments exist for coronavirus disease 2019 (COVID-19). Repurposing existing drugs that have already been established as safe, if shown effective, would lead to more options for treatment of COVID-19. In this project, we plan to investigate several drugs and classes of drugs, that we hypothesize could potentially be effective in reducing the severity of COVID-19 outcomes, based on their characteristics and biological pathways they affect. In our previous retrospective study that focused on statins, we observed a small, but statistically significant, decrease in mortality among patients prescribed statins when compared with matched COVID-19-positive controls. In this project, we plan to use the N3C cohort in a retrospective matched case-control study to study other drugs/classes of drugs of interest."
"Epidemiology of Acute and Chronic Kidney Injury Associated SARS-CoV-2 Infection","Lead Investigator: Chirag Parikh","Accessing Institution: Johns Hopkins University","Clinical acute kidney injury (AKI) is common in COVID-19 and is strongly associated with severity of disease and outcomes. Preliminary reports indicate that AKI occurs in approximately 20%-40% of patients hospitalized with COVID-19 and in 30-50% of those admitted to the intensive care unit. Moreover, the mortality rate in patients that experience AKI in the setting of COVID-19 is 2- to 10-fold higher than patients without AKI. The severity of AKI in COVID-19 has been overwhelming the resources needed for acute renal replacement therapy. This study propose to assess the incidence, severity, and clinical predictors of major adverse kidney events during hospitalization and at 90 days following discharge. AKI and AKI Stages will be defined using KDIGO creatinine criteria. Baseline serum creatinine will be defined as the last available creatinine measurement between 7 and 365 days before admission. All in-hospital serum creatinine measurements will be used to determine AKI. MAKE-D (Make Adverse Kidney Event) within 90 days (+/- 30 days) will be defined as the need for dialysis or a ?50% increase in serum creatinine OR post-discharge death."
"Evaluation of the Detection, Use, Benefits, and Adverse Effects of Anticoagulants Among Covid-19 Patients","Lead Investigator: Benjamin Bates","Accessing Institution: Rutgers, The State University of New Jersey","Increased incidence of arterial and venous thromboemboli (VTE) have been reported among individuals infected with SARS-CoV2. Due to the potential increased risk of VTE, prophylactic methods for COVID-19 hospitalized patients have included the use of higher-than-normal doses of anticoagulation have been proposed. Small, retrospective, single center or regionally based studies, early in the COVID-19 pandemic demonstrated a potential benefit of higher-than-normal doses of anticoagulation. More recent studies have demonstrated no survival benefit with escalating doses of prophylactic anticoagulation, as well as differences of increased risk of major bleeding events with the escalation of anticoagulation intensity.  . There is a knowledge gap in the understanding of the utilization and effectiveness of anticoagulation among individuals hospitalized for COVID-19 and utilization and bleeding risk of anticoagulant use among groups of individuals at high risk for bleeding events. The National COVID Cohort Collective (N3C) represents a unique electronic health record (EHR) repository supported by the National Institute of Health. The data is structured using Observational Medical Outcomes Partnership (OMOP).  Prior to assessing anticoagulant use, we will need to consider how to detect when a drug was ordered, administered, and stopped depending on the type of drug code used. This information concerning anticoagulation is imperative for our study but also will provide important knowledge on how to detect and consider drug exposure among hospitalized patients for present and future studies using N3C and other EHR-based OMOP studies. Overall, this study will assess the utilization, effectiveness, and bleeding risk based on varying doses of anticoagulation for patients hospitalized for COVID-19, while also evaluating the format of drug exposure within EHR-based OMOP drug structure. The four aims of this study are as follows: (1)	How are anticoagulants and other commonly prescribed medications in the hospital organized by each hospital within the N3C data structure based on route of exposure (e.g. oral, subcutaneous, and intravenous)? (2)	How are anticoagulants being utilized for individuals hospitalized for COVID-19 in the United States and whether comorbidities and other treatments may influence the dose and type of anticoagulant received? This aim will assess anticoagulant use among an individual throughout their hospitalization (3)	What is the effectiveness and general bleeding risk of escalating type and dose of anticoagulant for general cohort hospitalized for COVID-19? (4)	What is the use and bleeding risk among individuals who are at increased disposition for clotting and/or bleeding events?"
"Evaluation of the Relationship	Between Chronic Medication Use and COVID-19 Disease		","Lead Investigator: Alexandra Sierko","Accessing Institution: Auburn University","Background: COVID-19, caused by the SARS-CoV-2 virus, is a devastating disease that has impacted the entire world population. Although little is known regarding the viral pathogenesis, there are numerous theories related to the viral mechanisms of infectivity. Recent research has identified a potential role for targets and disease processes that are directly affected by common medications. These components include the renin-angiotensin-aldosterone system (RAAS), bradykinin signaling, vitamin D homeostasis, vasodilation, and the inflammatory response. The purpose of this project is to determine if chronic use of medications known to impact potential COVID-19 targets influences disease course and/or severity. Methods: We will conduct a retrospective review of the National COVID Cohort Collaborative (N3C) database to examine the relationship between chronic treatment with medications known to impact potential COVID-19 targets and disease course. Subject medications include RAAS inhibitors, such as angiotensin- converting enzyme (ACE) inhibitors and angiotensin II receptor type I blockers (ARBs), bradykinin receptor antagonists, vitamin D supplements, vasodilators and vasoconstrictors (e.g. nitrates and ergots), anti-inflammatory drugs including non-steroidal anti-inflammatory drugs (NSAIDs) and corticosteroids, and interferons . Using the World Health Organization (WHO) Clinical Progression Scale and the American College of Emergency Physicians (ACEP) Classification COVID Severity Scale, correlation analyses will be used to identify relationships between chronic medication therapies and COVID disease course."
"Evolution of hospital stay parameters for COVID  patients during COVID pandemic and a characterization of post COVID care needs and healthcare utilization ","Lead Investigator: Corneliu Antonescu","Accessing Institution: University of Arizona","This project will focus on characteristics of hospital stays and some  outcomes for patients hospitalized with COVID 19 (like mortality, transfer to ICU for mechanical ventilation, length of stay, readmissions, discharge dispositions), resource utilization and how these changed at different stages of the pandemic."
"Examining Associations between Vitamin D Status and COVID-19 Test Results","Lead Investigator: Thomas Best","Accessing Institution: University of Chicago","There is strong evidence from pre-COVID-19 data that vitamin D treatment decreases the incidence of viral respiratory tract infection, especially in vitamin D deficiency. Initial analysis indicates that vitamin D might also protect against COVID-19, but additional studies are urgently needed, ideally using large multi-site datasets. Our objective is to examine whether vitamin D status, reflecting vitamin D levels and treatment, is associated with COVID-19 test results among data in the National COVID Cohort Collaborative (N3C) enclave, and to submit findings for peer review by October 31, 2020. We will examine whether a patient?s most recent vitamin D status before COVID-19 testing is associated with their first COVID-19 test result with the use of multi-variable statistical models that mitigate potential confounding. This work will attempt to replicate our initial smaller-sample, single-site findings of associations between vitamin D status and COVID-19 test results, published in JAMA Network Open on September 3, 2020 (Meltzer et al. 2020). If we do not find similar results to our earlier analysis, we will seek to understand the reasons for different findings. If we do find similar results to our earlier analysis, it would increase confidence in our earlier findings to inform current decision making and provide further support for robust prospective studies."
"Examining the clinical utility of the OMOP2OBO clinical mappings and algorithmic framework","Lead Investigator: Tiffany Callahan","Accessing Institution: University of Colorado Anschutz Medical Campus","We have developed OMOP2OBO,1 the first health system-wide integration and alignment between Observational Medical Outcomes Partnership (OMOP) standardized clinical terminologies and several Open Biomedical Ontologies (OBO) ontologies. These mappings will be used in multiple Covid-focused research projects that require clinical data in OMOP to be analyzed to OBO ontologies such as the Human Phenotype Ontology (HPO) or knowledge graphs that incorporate multiple OBO ontologies. They will support several broad classes of research goals in the National COVID Cohort Collaborative (N3C) such as biomarker discovery, drug repurposing, and advanced/precision phenotyping. Several projects are planned or are already underway within N3C which will require this infrastructure. Implementation of them will meet a critical need for a linking strategy between N3C research using NIH Biomedical Data Translator tools with the clinical data in N3C, for example. Initial use cases to demonstrate the value of these mappings will include studies of the psychiatric consequences of COVID and the characterization of COVID-infected patients with acute kidney injury. Additionally, we will work with the Machine Learning working group to develop novel mapping algorithms, which are trained on the OMOP2OBO mappings and applied to novel diseases and subphenotypes, which has the potential to reduce the burden of manual annotation."
"Examining the dynamics in social determinants of health with regards to differential COVID-19 incidence across the United States","Lead Investigator: Charisse Madlock-Brown","Accessing Institution: University of Tennessee Health Science Center","We intend to focus on the relationship between social determinants of health (SDoH) and COVID-19 using patient cohorts and geographic units of analysis using data from the National COVID Cohort Collaborative (N3C).  We have developed protocols around local policy around Covid-19, impact on disadvantaged groups, and the impact of the pandemic on inequalities. We currently have developed several protocols to determine the social determinants related to vulnerability to high incidence and poor COVID-19 outcomes. We have identified SDoH at the individual and zip-code/county level related to social deprivation, environmental factors, food access, racial characteristics, health status, and access to care. We will derive SDoH from both the limited dataset and external datasets with aggregated measures for geographical regions. In addition to identifying associations between SDoH and COVID-19, we will assess the modifying effects of COVID-19 policies and shelter-in-place behavior on those associations."
"Exploring associations between reported cannabinoid use and COVID-19 test results","Lead Investigator: Thomas Best","Accessing Institution: University of Chicago","Preliminary analysis of single-site data indicates a potential negative association between reported cannabinoid use (e.g., epidiolex) and COVID-19 test results. This project will explore the potential for these associations to be substantial and significant in the multi-site N3C Data Enclave."
"Factors affecting risk of poor outcomes for COVID-19 for patients with diabetes","Lead Investigator: Ashok Krishnamurthy","Accessing Institution: University of North Carolina at Chapel Hill","Does the level of glycemic control before COVID-19 affect the risk for poor outcomes? If the answer is yes, we should be working to get people better control now, perhaps. Or is the risk related to age, obesity, non-white race, Hispanic ethnicity, heart disease, kidney disease, hypertension, poverty etc., all of which areincreased in patients with diabetes."
"Headache Associated with COVID19 infection ","Lead Investigator: Teshamae Monteith","Accessing Institution: University of Miami","Headache is associated with a large global burden of disease and is the second cause of disability worldwide. Moreover, headache is common symptom of COVID19 infection, which may be a systemic symptom, manifestation of nervous system involvement, or triggering of pre-existing primary headache such as migraine. Due to the public health impact of headache disorders, the goal of the study is to assess the incidence, prevalence, risks and persistence of the clinical spectrum of headache due to COVID19 infection."
"High-Throughput Covid-19 (sub)-Phenotyping for Personalized Patient Prognosis and Care","Lead Investigator: Ravi Srinivasan","Accessing Institution: The University of Texas at Austin","Most studies of COVID-19 risk factors (related to age, gender, diabetes, heart disease and hypertension, smoking, blood type, obesity,  environmental and genetic factors, etc.) have considered the effect of one ?factor? at a time, using standard cross-sectional multivariate modeling techniques. As such, they do not quantify the simultaneous effect of multiple, heterogeneous factors, and the factors considered are relatively few and hand-picked. For example, all the studies mentioned in a recent meta-survey of EHR-based data analysis [Chen et al., IEEE JBHI, 2016] fall in this category. Similarly, in terms of patient progression over time, only classical biostatistics approaches such as Cox proportional hazards (conditioned on a few covariates) have been considered [Chen et al., J. Biomed. Inform, 2015]. Both types of studies are handicapped by not being able to consider the dynamic multi-way interactions among numerous potential factors that uniquely characterize COVID-19. There is a compelling need to identify a large number of fine-grained patient subgroups that are relatively homogeneous in terms of infection progression and treatment needs, which can then enable us to provide much more personalized and targeted treatments for substantially improved outcomes. Such groups can be determined by developed COVID-specific sub-phenotypes, however traditional phenotyping approaches (such as eMERGE) take many months of human expertise to produce a small number of ?gold-standard? phenotypes. This proposal provides a much faster alternative to a year-plus wait for golden COVID-19 phenotypes. Our research team is highly qualified for carrying out this project with a strong track record of publications in computational phenotyping, including two best paper awards (AMIA 2017, KDD18), and a First Runners-up for AMIA?s 2018 Best Dissertation Award."
"HIV and COVID-19: Effect of Shelter-In-Place Orders on Virologic Suppression","Lead Investigator: Christopher Schriever","Accessing Institution: University of Illinois at Chicago","The objective of this study is to retrospectively investigate the effects of COVID-19 shelter-in-place orders on clinical outcomes, including virologic suppression, in patients living with HIV. To do this, a retrospective comparison before and after the shelter-in-place orders will be conducted."
"Hospitalization Rates Feb-April vs May-October","Lead Investigator: Jeremy Harper","Accessing Institution: Indiana University","Looking at the rates of hospitalization between early C19 and after C19 disease progression was better understood."
"How HIV infection shape the healthcare utilization and disease severity of COVID-19 ","Lead Investigator: Xueying Yang","Accessing Institution: University of South Carolina","The World Health Organization (WHO) and Center for Disease Control and Prevention (CDC) have issued health alerts and prevention guidelines for people at increased risk for severe health outcomes and death due to COVID-19. Chronic comorbidities appear to be driving factors for COVID-19 mortality. Although evidence to date does not suggest that people living with HIV (PLWH) have a markedly higher susceptibility to SARS-CoV-2 infection, chronic conditions are more prevalent in people living with HIV than non-infected individuals. Therefore, on top of the other common comorbidities (e.g., asthma, chronic lung disease, diabetes, cardiovascular conditions, chronic kidney disease, obesity), warnings to take extra precautions should also include persons who are immunocompromised, such as PLWH. Existing literature that investigated the health outcomes of COVID-19 patients who are co-infected with HIV are very limited, with the available data mainly appear in case reports and case series of COVID-19-HIV co-infected patients, and almost all are small-scale studies with findings inconclusive. This study aims to use N3C enclave data to perform a large scale retrospective observational study to characterize outcomes in COVID-19 patients with/without HIV infection. Our team is requesting access to level 2 de-identified data to gain a better understanding of how HIV infection affect COVID-19 outcomes."
"Ideal Approach to Higher Level Oxygenation in COVID19: Early vs. Late Intubation ","Lead Investigator: Emma Nash","Accessing Institution: University of Nebraska Medical Center","The purpose of the study is provide information to help guide clinical decision making regarding respiratory support for CoVID-19 patients, specifically the effects of treating patients with high levels of non-invasive respiratory support (> 6L supplemental oxygen) vs early intubation (< 72 hours). This is an observational retrospective cohort study to determine the potential benefit of avoiding endotracheal intubation in CoVID-19 patients. Information used pertaining to the primary outcome of interest includes rate of intubation of those trialed on non-invasive methods, overall time on ventilator support, and length of stay in ICU."
"Identification of Novel COVID-19 Subphenotypes Using Temperature Trajectories","Lead Investigator: Sivasubramanium Bhavani","Accessing Institution: Emory University","The coronavirus disease 2019 (COVID-19) pandemic has affected over 35 million people and caused over 1 million deaths as of October, with numbers continuing to rise. Fever is one of the hallmarks of COVID-19, and body temperature is one of the most frequently obtained clinical measurements. Since temperature is closelytied to the immune response to infection, the pattern of temperature over time (i.e., temperature trajectories) could predict mortality in COVID-19. Further, temperature trajectories could predict which patients will respond to what therapies. Using large inpatient data from hospitals around the country, I am applyingmachine learning to identify clusters of patients following distinct temperature trajectories. Understanding the different body temperature responses to COVID-19 will allow us to use this age-old clinical measurement to prognosticate and identify subgroups. These COVID-19 subgroups could lead to the precision medicineapproach to treating this severe disease."
"Identify important variables for molecular epidemiology of COVID-19 using multi-omics data and deep learning","Lead Investigator: Gholamali Rahnavard","Accessing Institution: George Washington University","The novel coronavirus disease (COVID-19) has changed modern human life, and we need to prepare a long-term plan for this infectious disease. Future treatment strategies (e.g., therapeutics, vaccines) require understanding how the body responds during the initial and subsequent treatments. Whether discrete omics features such as molecular level changes, host/viral genomic variants, differential gene expression will exhibit different clinical outcomes. Identifying epidemiological variables and patient characteristics and  and omics features to be considered in studies with multi-omics to investigate molecular mechanisms of COVID-19  is an essential task to optimize cost and efforts. We hypothesize that the evolutionary and temporal dynamics of CoV-2 transmission during treatment will generate distinct genomic and biomarker signatures in association with epidemiological data. We will apply statistical and deep learning models to identify important measured omics data (e.g., viral genome, metabolites, proteins, host expression, and microbiome) in association to health outcomes. We use large-scale data from monitored communities such as vaccinated individuals to detect and decipher drug-resistance and, eventually, vaccine-resistance. We will also test seasonality patterns as the pandemic extends beyond one year. In addition our focus will be on pregnancy and cardiovascular domains data. We request Level 2 de-identified data from the N3C to associate patient characteristics and clinical variables with treatments and health outcomes."
"Identifying important risk factors for severe COVID-19 outcomes ","Lead Investigator: Mengyue Han","Accessing Institution: Duke University","Apply machine learning algorithms to identify potential risk factors for severe COVID-19 outcomes like death, ICU stay etc. For this aim, the project will include potential risk factors like demographics, medications, social characteristics. The primary outcome will be a discrete variable. Machine learning methods like random forest and boosting may be applied."
